,tanggal,user_name,ISI,STOP_REMOVAL
0,2022-06-09 05:00:08+00:00,iwanmarzuki4,Sepanjang tahun 2022 KPK sudah kali melakukan OTT https ygKILw7U9U,2022 kpk kali ott https ygkilw7u9u
1,2022-06-09 05:00:00+00:00,idxchannelcom,KPK uang suap bupati nonaktif PPU mengalir parpol https E4EU6LrwDE,kpk uang suap bupati nonaktif ppu mengalir parpol https e4eu6lrwde
2,2022-06-09 04:59:56+00:00,ayutiasya,KPK bersama masyarakat untuk menurunkan tingkat korupsi untuk mewujudkan Indonesia maju https 8gimZbO9X5,kpk masyarakat menurunkan tingkat korupsi mewujudkan indonesia maju https 8gimzbo9x5
3,2022-06-09 04:58:40+00:00,umarhasibuan070, cobeh2021 msaid didu Maalah saat ditanya wartawan ketua KPK dijawab firli pertanyaan titipan Parah https 7WoxT072Kt, cobeh2021 msaid didu maalah wartawan ketua kpk firli titipan parah https 7woxt072kt
4,2022-06-09 04:57:49+00:00,san_ozil,Berani Jujur Hebat KPKUpdates KPK SaveKPK https plHrBczBay,berani jujur hebat kpkupdates kpk savekpk https plhrbczbay
5,2022-06-09 04:57:47+00:00,fitriandrianiy,KPK akan terus meningkatkan kinerja dalam pemberantasan korupsi https GTUmp2oznI,kpk meningkatkan kinerja pemberantasan korupsi https gtump2ozni
6,2022-06-09 04:57:40+00:00,sutanwidiyanto,KPK akan terus meningkatkan kinerja dalam pemberantasan korupsi https 2e518N8SOQ,kpk meningkatkan kinerja pemberantasan korupsi https 2e518n8soq
7,2022-06-09 04:57:35+00:00,adammahfud4,KPK akan terus meningkatkan kinerja dalam pemberantasan korupsi https vZmttiI8bY,kpk meningkatkan kinerja pemberantasan korupsi https vzmttii8by
8,2022-06-09 04:57:30+00:00,san_ozil,KPK jangan hilang fokus tetaplah bekerja dengan profesional KPKUpdates KPK SaveKPK https ZY1ZF33YUn,kpk hilang fokus tetaplah profesional kpkupdates kpk savekpk https zy1zf33yun
9,2022-06-09 04:57:24+00:00,iwanmarzuki4,KPK akan terus meningkatkan kinerja dalam pemberantasan korupsi https bL3hYueYLN,kpk meningkatkan kinerja pemberantasan korupsi https bl3hyueyln
10,2022-06-09 04:57:18+00:00,ayutiasya,KPK akan terus meningkatkan kinerja dalam pemberantasan korupsi https 3VcPaxvVPY,kpk meningkatkan kinerja pemberantasan korupsi https 3vcpaxvvpy
11,2022-06-09 04:57:14+00:00,renesinclair,Gerakan Anti Korupsi Dimulai Top Down Sistem Regulasi amp Contoh GanjarPranowo Ganjar GanjarPranowo Gubernur https LIo7hD8v9n,gerakan anti korupsi top down sistem regulasi amp contoh ganjarpranowo ganjar ganjarpranowo gubernur https lio7hd8v9n
